"","ID","description"
"104","Orphanet_141327","obsolete_orofaciodigital syndrome type 12"
"105","Orphanet_141330","obsolete_orofaciodigital syndrome type 13"
"106","Orphanet_1454","Joubert syndrome with hepatic defect"
"107","Orphanet_1505","obsolete_short rib-polydactyly syndrome"
"108","Orphanet_1515","obsolete_cranioectodermal dysplasia"
"109","Orphanet_2189","Hydrolethalus"
"110","Orphanet_220493","obsolete_Joubert syndrome with ocular defect"
"111","Orphanet_220497","obsolete_Joubert syndrome with renal defect"
"112","Orphanet_231169","obsolete_Usher syndrome type 1"
"113","Orphanet_231178","obsolete_Usher syndrome type 2"
"114","Orphanet_231183","obsolete_Usher syndrome type 3"
"115","Orphanet_2318","obsolete_Joubert syndrome with oculorenal defect"
"116","Orphanet_2473","obsolete_McKusick-Kaufman syndrome"
"117","Orphanet_2666","Adult familial nephronophthisis - spastic quadriparesia"
"118","Orphanet_2750","Orofaciodigital syndrome type 1"
"119","Orphanet_2751","Orofaciodigital syndrome type 2"
"120","Orphanet_2752","Orofaciodigital syndrome type 3"
"121","Orphanet_2753","Orofaciodigital syndrome type 4"
"122","Orphanet_2754","Joubert syndrome with orofaciodigital defect"
"123","Orphanet_2755","Orofaciodigital syndrome type 8"
"124","Orphanet_2756","Orofaciodigital syndrome type 10"
"125","Orphanet_289","Ellis Van Creveld syndrome"
"126","Orphanet_2919","Orofaciodigital syndrome type 5"
"127","Orphanet_3032","obsolete_NPHP3-related Meckel-like syndrome"
"128","Orphanet_3156","obsolete_Senior-Loken syndrome"
"129","Orphanet_36","obsolete_acrocallosal syndrome"
"130","Orphanet_369902","obsolete_orofaciodigital syndrome type 14"
"131","Orphanet_397715","obsolete_Joubert syndrome with Jeune asphyxiating thoracic dystrophy"
"132","Orphanet_474","obsolete_Jeune syndrome"
"133","Orphanet_475","obsolete_Joubert syndrome"
"134","Orphanet_534","obsolete_oculocerebrorenal syndrome"
"135","Orphanet_564","obsolete_Meckel syndrome"
"136","Orphanet_65","obsolete_Leber congenital amaurosis"
"137","Orphanet_655","obsolete_nephronophthisis"
"138","Orphanet_65759","obsolete_Carpenter syndrome"
"139","Orphanet_731","obsolete_autosomal recessive polycystic kidney disease"
"140","Orphanet_79118","obsolete_Neonatal diabetes - congenital hypothyroidism - congenital glaucoma - hepatic fibrosis - polycystic kidneys"
"141","Orphanet_85167","Spondylometaphyseal dysplasia - cone-rod dystrophy"
"142","Orphanet_85283","obsolete_X-linked intellectual disability, Miles-Carpenter type"
"143","Orphanet_886","obsolete_Usher syndrome"
"144","Orphanet_88924","obsolete_autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis"
"145","Orphanet_93268","Short rib-polydactyly syndrome, Beemer-Langer type"
"146","Orphanet_93269","obsolete_short rib-polydactyly syndrome, Majewski type"
"147","Orphanet_93270","obsolete_Short rib-polydactyly syndrome, Saldino-Noonan type"
"148","Orphanet_93271","Short rib-polydactyly syndrome, Verma-Naumoff type"
"149","Orphanet_93426","obsolete_short rib dysplasia"
"150","Orphanet_93589","obsolete_late-onset nephronophthisis"
"151","Orphanet_93591","Infantile nephronophthisis"
"152","Orphanet_93592","Juvenile nephronophthisis"
"153","Orphanet_93973","obsolete_Carpenter-Waziri syndrome"
